h en0 SR0 var0 maxBondDim0 en1 SR1 var1 maxBondDim1 
3 -153.236 -0.705641 5.17337e-06 59 -152.33 0.924671 5.0292e-06 75 
3.01 -153.666 -0.746131 5.09164e-06 59 -152.735 0.902258 5.02222e-06 75 
3.02 -154.098 -0.783008 5.21338e-06 58 -153.141 0.877633 4.99361e-06 76 
3.03 -154.529 -0.816406 5.2157e-06 58 -153.548 0.851013 5.05152e-06 75 
3.04 -154.962 -0.846467 5.17563e-06 58 -153.955 0.822611 5.11545e-06 75 
3.05 -155.395 -0.873335 5.30406e-06 57 -154.363 0.792623 5.2193e-06 76 
3.06 -155.829 -0.89716 5.43293e-06 56 -154.772 0.761242 5.24362e-06 75 
3.07 -156.263 -0.918092 5.49565e-06 56 -155.181 0.728644 5.23734e-06 75 
3.08 -156.698 -0.93628 5.47075e-06 56 -155.591 0.695 5.18906e-06 75 
3.09 -157.134 -0.951871 5.64433e-06 55 -156.001 0.660467 5.3551e-06 75 
3.1 -157.571 -0.96501 5.59536e-06 55 -156.413 0.625194 5.34165e-06 75 
