hval gsEn excEn overlap var0 var1 
2 -136.002 -133.984 -3.41797e-08 5.49747e-06 0.0145966 
1.9 -130.039 -128.228 -7.25164e-07 8.75077e-06 0.00359841 
1.8 -124.127 -122.511 3.3854e-06 1.43809e-05 0.00127217 
1.7 -118.277 -116.861 5.61951e-06 2.46941e-05 0.00943187 
1.6 -112.502 -111.292 -1.87203e-06 6.1588e-06 0.00286304 
1.5 -106.819 -105.81 1.08159e-06 1.35299e-05 0.00153151 
1.4 -101.251 -100.422 3.25297e-06 3.14308e-05 0.00537036 
1.3 -95.831 -95.2209 2.22635e-06 2.80986e-06 0.00032586 
1.2 -90.6067 -90.1924 -7.44748e-07 7.22855e-06 0.00108355 
1.1 -85.6558 -85.4236 1.62202e-05 1.83318e-05 0.00914923 
1 -81.1254 -81.0747 0.000196054 0.00105943 0.00260508 
0.9 -77.294 -77.0687 -0.000413282 0.000819228 0.00108046 
0.8 -74.0951 -74.0951 -1.17923e-06 2.69142e-06 2.67223e-06 
0.7 -71.3808 -71.3808 5.03215e-11 1.39722e-05 1.39726e-05 
0.6 -69.0927 -69.0927 1.1444e-15 2.56888e-06 2.87885e-06 
0.5 -67.1962 -67.1962 8.38112e-21 6.24401e-07 6.244e-07 
0.4 -65.6684 -65.6684 4.37283e-27 3.7553e-08 3.65044e-08 
0.3 -64.4938 -64.4938 1.72278e-37 1.04657e-06 1.04673e-06 
0.2 -63.6617 -62.0555 4.18066e-12 1.35959e-07 0.000840329 
0.1 -63.1651 -61.3572 -0.000508014 5.17502e-10 0.00118648 
0 -63 -63 0 0 0 
