hval gsEn excEn overlap var0 var1 
2 -212.577 -210.568 5.57748e-07 6.63436e-07 0.00101033 
1.9 -203.264 -201.45 2.07671e-05 1.19529e-06 0.00116124 
1.8 -194.032 -192.424 -3.96209e-06 6.27115e-08 0.00149406 
1.7 -184.898 -183.49 -3.10678e-06 5.84841e-08 0.000409712 
1.6 -175.881 -174.674 -3.01446e-06 7.40256e-08 0.000403086 
1.5 -167.009 -166.001 -1.38961e-05 2.01693e-07 0.000906375 
1.4 -158.318 -157.512 7.00882e-07 2.25533e-07 0.000656673 
1.3 -149.861 -149.254 2.69054e-06 5.20384e-07 0.000309052 
1.2 -141.713 -141.305 1.51251e-06 6.27653e-07 0.00224687 
1.1 -133.999 -133.784 -7.80026e-06 3.79703e-07 0.0053683 
1 -126.962 -126.929 -5.88123e-05 7.91234e-06 0.00210147 
0.9 -121.07 -121.07 1.66069e-06 1.56831e-07 1.65783e-07 
0.8 -116.136 -116.136 4.62142e-10 4.68754e-08 4.69827e-08 
0.7 -111.947 -111.947 -1.71891e-16 7.40838e-08 7.3107e-08 
0.6 -108.413 -108.413 9.90449e-21 6.9831e-09 2.07746e-05 
0.5 -105.484 -105.484 -1.71676e-32 2.0478e-07 2.05449e-07 
0.4 -103.123 -103.123 -2.06158e-42 1.63127e-08 1.632e-08 
0.3 -101.308 -101.308 -5.17395e-55 1.20599e-09 9.1859e-10 
0.2 -100.023 -100.023 2.0307e-76 6.12272e-08 6.15073e-08 
0.1 -99.2552 -99.2552 -7.85891e-107 3.67436e-10 6.54836e-10 
0 -99 -97 1.39631e-57 0 0 
