hval gsEn excEn overlap var0 var1 
2 -212.577 -210.56 1.07374e-05 8.93108e-06 0.0103326 
1.9 -203.264 -201.453 1.13685e-06 1.42252e-05 0.0037471 
1.8 -194.032 -192.421 1.91211e-06 2.34435e-05 0.00302174 
1.7 -184.898 -183.471 0.000100806 4.04364e-05 0.00630718 
1.6 -175.881 -174.658 -0.000151026 9.80064e-06 0.00804396 
1.5 -167.009 -166 2.58201e-06 2.18012e-05 0.00172222 
1.4 -158.318 -157.502 1.63703e-06 5.2108e-05 0.00129612 
1.3 -149.861 -149.252 -4.10781e-06 3.77473e-06 0.00190409 
1.2 -141.713 -141.297 -1.44246e-05 1.20622e-05 0.0118235 
1.1 -133.999 -133.757 5.78694e-06 3.33417e-05 0.00769869 
1 -126.96 -126.915 0.000489994 0.00115881 0.0143794 
0.9 -121.07 -121.07 5.97525e-05 1.86591e-05 3.55118e-05 
0.8 -116.136 -116.136 -1.77138e-10 3.78447e-06 3.06646e-06 
0.7 -111.947 -111.947 -1.61276e-17 2.45771e-05 2.90303e-05 
0.6 -108.413 -108.413 1.46046e-24 3.62908e-06 3.70168e-06 
0.5 -105.484 -104.47 -2.56136e-05 7.07138e-07 0.000871605 
0.4 -101.919 -103.123 -2.01785e-08 0.00049694 4.08381e-08 
0.3 -101.308 -99.9031 1.17067e-19 1.69652e-06 0.0012382 
0.2 -100.023 -99.9535 1.13313e-43 1.59702e-07 0.310438 
0.1 -99.2552 -99.2552 -7.85902e-107 6.8394e-10 3.32875e-10 
0 -99 -97 3.0835e-15 0 -1.81899e-12 
