hval gsEn excEn overlap var0 var1 
2 -67.9353 -65.9061 7.76845e-06 2.44495e-06 0.0125235 
1.9 -64.9498 -63.122 2.2265e-07 3.87499e-06 0.00933321 
1.8 -61.9896 -60.3654 2.28962e-05 6.35078e-06 0.0108268 
1.7 -59.0596 -57.6056 2.26982e-05 1.08287e-05 0.0272037 
1.6 -56.1662 -54.9427 -8.67394e-06 2.92166e-06 0.00381265 
1.5 -53.3176 -52.2916 -2.50824e-06 6.17766e-06 0.0112257 
1.4 -50.5252 -49.6958 -2.42673e-05 1.30512e-05 0.0073721 
1.3 -47.8046 -47.1653 3.73724e-05 1.95177e-06 0.0288366 
1.2 -45.1789 -44.7391 -1.20902e-06 2.92697e-06 1.69734e-05 
1.1 -42.6842 -42.4284 -9.12963e-06 6.29164e-06 0.000256405 
1 -40.3843 -40.2877 6.25829e-07 4.00734e-06 1.00818e-05 
0.9 -38.3862 -38.3415 0.00361772 0.00113421 0.0706638 
0.8 -36.7252 -36.7252 -1.55677e-05 4.23784e-06 2.37357e-06 
0.7 -35.3223 -35.3223 2.78445e-05 4.55548e-06 5.64256e-06 
0.6 -34.1411 -34.1411 -1.04265e-07 1.72729e-06 1.7273e-06 
0.5 -33.1627 -33.1627 -2.70788e-10 5.51045e-07 5.50867e-07 
0.4 -32.3751 -32.3751 -1.94239e-13 3.26863e-08 3.26884e-08 
0.3 -31.7697 -31.7697 1.29091e-18 4.68974e-07 4.68654e-07 
0.2 -31.3409 -31.3409 1.71689e-24 1.14834e-07 1.14864e-07 
0.1 -31.0851 -31.0851 3.61546e-34 4.22006e-10 4.10523e-10 
0 -31 -31 0 0 0 
